Gram Stain,Domain,Phylum,Class,Order,Family,Genus,Species,Organism Name,Culture Collection (Strain),GENRE Filename,HOMD Sequence ID,NCBI Taxon ID,ftp for NCBI genome,NCBI Accession,Kbase ID,HOMD HOT ID,Kbase download notes
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Tannerella,sp. oral taxon 286,Tannerella sp. oral taxon BU063,isolate Cell 5,Tannerella_oral_taxon_BU063_isolate_Cell_5.mat           ,SEQF2636,1410950,ftp://ftp.ncbi.nlm.nih.gov/genomes/refseq/bacteria/Tannerella_sp._oral_taxon_HOT-286/all_assembly_versions/suppressed/GCF_000510505.1_BU063sc5,'GCF_000510505.1',213492,286,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Tannerella,sp. oral taxon 286,Tannerella sp. oral taxon BU063,isolate Cell 1/3,Tannerella_sp._oral_taxon_286_Cell_1_3.mat               ,SEQF2634,1411022,ftp://ftp.ncbi.nlm.nih.gov/genomes/refseq/bacteria/Tannerella_sp._oral_taxon_HOT-286/all_assembly_versions/suppressed/GCF_000510545.1_BU063sc13,'GCF_000510545.1',213494,286,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Tannerella,sp. oral taxon 286,Tannerella sp. oral taxon BU063,isolate Cell 2,Tannerella_sp._oral_taxon_286_Cell_2.mat                 ,SEQF2635,1411148,ftp://ftp.ncbi.nlm.nih.gov/genomes/refseq/bacteria/Tannerella_sp._oral_taxon_HOT-286/all_assembly_versions/suppressed/GCF_000510385.1_BU063sc2,'GCF_000510385.1',213495,286,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Tannerella,sp. oral taxon 286,Tannerella sp. oral taxon BU063,isolate Cell 6/7/9,Tannerella_sp._oral_taxon_286_Cell_6_7_9.mat             ,SEQF2637,1411021,ftp://ftp.ncbi.nlm.nih.gov/genomes/refseq/bacteria/Tannerella_sp._oral_taxon_HOT-286/all_assembly_versions/suppressed/GCF_000510525.1_BU063sc679,'GCF_000510525.1',213493,286,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Tannerella,sp. oral taxon 286,Tannerella sp. oral taxon BU063,isolate Cell 8/11,Tannerella_sp._oral_taxon_286_Cell_8_11.mat              ,SEQF2638,1411915,ftp://ftp.ncbi.nlm.nih.gov/genomes/refseq/bacteria/Tannerella_sp._oral_taxon_HOT-286/all_assembly_versions/suppressed/GCF_000510565.1_BU063sc811,'GCF_000510565.1',213603,286,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Tannerella,forsythia,Tannerella forsythia,"ATCC 43037, FDC 338",Tannerella_forsythia_ATCC_43037.mat                      ,SEQF2738,28112,ftp://ftp.ncbi.nlm.nih.gov/genomes/refseq/bacteria/Tannerella_forsythia/all_assembly_versions/GCF_001006485.1_ASM100648v1,'GCF_001006485.1',26084,613,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales [F-2],Bacteroidales [G-2],sp. oral taxon 274,Bacteroidetes bacterium oral taxon 274,F0058,Bacteroidetes_bacterium_oral_taxon_274_F0058.mat         ,SEQF1451,575590,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/695/GCF_000163695.1_ASM16369v1,'GCF_000163695.1',2452,274,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,sp. oral taxon 473,Prevotella sp. oral taxon 473,F0040,Prevotella_oral_taxon_473_F0040.mat                      ,SEQF1899,1035197,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/318/095/GCF_000318095.2_ASM31809v2,'GCF_000318095.2',29108,473,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,rava,Alloprevotella rava,F0323,Prevotella_oral_taxon_302_F0323.mat                      ,SEQF1671,679199,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/234/115/GCF_000234115.1_Prevotella_sp_F0323_V1,'GCF_000234115.1',27340,302,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,tannerae,Alloprevotella tannerae,ATCC 51259,Prevotella_tannerae_ATCC_51259.mat                       ,SEQF1597,626522,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/995/GCF_000159995.1_ASM15999v1,'GCF_000159995.1',2651,466,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,pyogenes,Bacteroides pyogenes,DSM 20611,Bacteroides_pyogenes_DSM_20611.mat                       ,SEQF2665,1121100,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/428/105/GCF_000428105.1_ASM42810v1,'GCF_000428105.1',207059,787,
Negative,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroidaceae [G-1],sp. oral taxon 272,Bacteroidetes [G-1] oral taxon 272,F0290,Bacteroidetes_[G-1]_oral_taxon_272_F0290.mat             ,SEQF1646,888054,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/442/105/GCF_000442105.1_BactbactF0290v01,'GCF_000442105.1',216328,272,
Negative,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp. oral taxon 412,Capnocytophaga sp. oral taxon 412,F0487,Capnocytophaga_oral_taxon_412_F0487.mat                  ,SEQF1909,1125721,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/925/GCF_000271925.1_Coraltaxon412F0487v1.0,'GCF_000271925.1',24419,412,
Negative,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp. oral taxon 335,Capnocytophaga sp. oral taxon 335,F0486,Capnocytophaga_oral_taxon_335_F0486.mat                  ,SEQF1906,1125720,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/665/GCF_000277665.1_Coraltaxon335F0486v1.0,'GCF_000277665.1',24418,335,
Negative,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp. oral taxon 336,Capnocytophaga sp. oral taxon 336,F0502,Capnocytophaga_oral_taxon_336_F0502.mat                  ,SEQF1970,1203603,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/411/575/GCF_000411575.1_Capn_sp_oral_taxon_336_F0502_V1,'GCF_000411575.1',31099,336,
Negative,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp. oral taxon 324,Capnocytophaga sp. oral taxon 324,F0483,Capnocytophaga_oral_taxon_324_F0483.mat                  ,SEQF1938,1127691,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/318/315/GCF_000318315.2_ASM31831v2,'GCF_000318315.2',29760,324,
Negative,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,ochracea,Capnocytophaga ochracea,"DSM 7271, ATCC 27872, JCM 12966",Capnocytophaga_ochracea_DSM_7271.mat                     ,SEQF1008,521097,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/285/GCF_000023285.1_ASM2328v1,'GCF_000023285.1',1959,700,
Negative,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp. oral taxon 326,Capnocytophaga sp. oral taxon 326,F0382,Capnocytophaga_oral_taxon_326_F0382.mat                  ,SEQF1900,1035193,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/318/295/GCF_000318295.1_ASM31829v1,'GCF_000318295.1',29104,326,
Negative,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp. oral taxon 380,Capnocytophaga sp. oral taxon 380,F0488,Capnocytophaga_oral_taxon_380_F0488.mat                  ,SEQF1950,1127693,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/318/255/GCF_000318255.2_ASM31825v2,'GCF_000318255.2',29762,380,
Negative,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sputigena,Capnocytophaga sputigena,ATCC 33612,Capnocytophaga_sputigena_ATCC_33612.mat                  ,SEQF1576,553177,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/173/675/GCF_000173675.1_ASM17367v1,'GCF_000173675.1',2243,775,
Negative,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,leadbetteri,Capnocytophaga sp. oral taxon 329,F0087,Capnocytophaga_oral_taxon_329_F0087.mat                  ,SEQF1684,706436,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/213/295/GCF_000213295.2_ASM21329v2,'GCF_000213295.2',3057,329,
Negative,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp. oral taxon 332,Capnocytophaga sp. oral taxon 332,F0381,Capnocytophaga_oral_taxon_332_F0381.mat                  ,SEQF1937,1127692,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/318/275/GCF_000318275.2_ASM31827v2,'GCF_000318275.2',29761,332,
Negative,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,granulosa,Capnocytophaga granulosa,ATCC 51502,Capnocytophaga_granulosa_ATCC_51502.mat                  ,SEQF1653,641143,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/411/115/GCF_000411115.1_Capn_gran_ATCC_51502_V1,'GCF_000411115.1',32240,325,
Negative,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp. oral taxon 863,Capnocytophaga sp. oral taxon 863,F0517,Capnocytophaga_oral_taxon_863_F0517.mat                  ,SEQF2319,1227266,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/466/425/GCF_000466425.1_ASM46642v1,'GCF_000466425.1',208202,863,
Negative,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,gingivalis,Capnocytophaga gingivalis,ATCC 33624,Capnocytophaga_gingivalis_ATCC_33624.mat                 ,SEQF1602,553178,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/174/755/GCF_000174755.1_ASM17475v1,'GCF_000174755.1',2244,337,
Negative,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp. oral taxon 338,Capnocytophaga sp. oral taxon 338,F0234,Capnocytophaga_oral_taxon_338_F0234.mat                  ,SEQF1687,888059,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/192/225/GCF_000192225.1_ASM19222v1,'GCF_000192225.1',3595,338,
Negative,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,denticola,Treponema denticola,"ATCC 35405, DSM 14222",Treponema_denticola_ATCC_35405.mat                       ,SEQF1061,243275,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/185/GCF_000008185.1_ASM818v1,'GCF_000008185.1',494,584,
Negative,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,pallidum,Treponema pallidum subsp. pallidum,str. Nichols,Treponema_pallidum_pallidum_Nichols.mat                  ,SEQF1062,243276,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/605/GCF_000008605.1_ASM860v1,'GCF_000008605.1',495,805,
Negative,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,medium,Treponema medium,ATCC 700293,Treponema_medium_ATCC_700293.mat                         ,SEQF1940,1125700,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/413/035/GCF_000413035.1_Trep_medi_ATCC_700293_V1,'GCF_000413035.1',29750,667,
Negative,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,vincentii,Treponema vincentii,ATCC 35580,Treponema_vincentii_ATCC_35580.mat                       ,SEQF1610,596324,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/175/895/GCF_000175895.1_ASM17589v1,'GCF_000175895.1',2608,29,
Negative,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,socranskii,Treponema socranskii subsp. paredis,ATCC 35535,Treponema_socranskii_paredis_ATCC_35535.mat              ,SEQF1942,1125701,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/413/015/GCF_000413015.1_Trep_socr_subsp_paredis_ATCC_35535_V1,'GCF_000413015.1',29751,769,
Negative,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,maltophilum,Treponema maltophilum,ATCC 51939,Treponema_maltophilum_ATCC_51939.mat                     ,SEQF1941,1125699,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/413/055/GCF_000413055.1_Trep_malt_ATCC_51939_V1,'GCF_000413055.1',29749,664,
Negative,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,lecithinolyticum,Treponema lecithinolyticum,OMZ 684T,Treponema_lecithinolyticum_OMZ_684T.mat                  ,SEQF1060,53418,ftp://ftp.ncbi.nlm.nih.gov/genomes/refseq/bacteria/Treponema_lecithinolyticum/all_assembly_versions/GCF_000468055.1_ASM46805v1,'GCF_000468055.1',209881,653,"Not found (strain ""ATCC 700332"" also in Kbase)"
Negative,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,nucleatum subsp. vincentii,Fusobacterium nucleatum subsp. vincentii,ATCC 49256,Fusobacterium_nucleatum_vincentii_ATCC_49256.mat         ,SEQF1076,209882,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/945/GCF_000182945.1_ASM18294v1,'GCF_000182945.1',26107,200,
Negative,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,nucleatum subsp. animalis,Fusobacterium nucleatum subsp. animalis,4_8,Fusobacterium_nucleatum_animalis_4_8.mat                 ,SEQF2539,469607,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/400/875/GCF_000400875.1_ASM40087v1,'GCF_000400875.1',32211,420,
Negative,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,nucleatum subsp. animalis,Fusobacterium nucleatum subsp. animalis,F0419,Fusobacterium_nucleatum_animalis_F0419.mat               ,SEQF1883,999414,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/242/975/GCF_000242975.1_Fuso_nucl_OT_420_V1,'GCF_000242975.1',28928,420,"Name change, strain: ""OT 420"""
Negative,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,nucleatum subsp. nucleatum,Fusobacterium nucleatum subsp. nucleatum,ATCC 25586,Fusobacterium_nucleatum_nucleatum_ATCC_25586.mat         ,SEQF1078,190304,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/325/GCF_000007325.1_ASM732v1,'GCF_000007325.1',191,698,
Negative,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,nucleatum subsp. polymorphum,Fusobacterium nucleatum subsp. polymorphum,ATCC 10953,Fusobacterium_nucleatum_polymorphum_ATCC_10953.mat       ,SEQF1075,393480,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/153/625/GCF_000153625.3_ASM15362v1,'GCF_000153625.3',1245,202,
Negative,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,sp. oral taxon 370,Fusobacterium sp. oral taxon 370,F0437,Fusobacterium_oral_taxon_370_F0437.mat                   ,SEQF1879,861452,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/235/465/GCF_000235465.1_ASM23546v1,'GCF_000235465.1',27834,370,
Negative,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,periodonticum,Fusobacterium periodonticum,1_1_41FAA,Fusobacterium_periodonticum_1_1_41FAA.mat                ,SEQF2555,469621,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/935/GCF_000163935.1_ASM16393v1,'GCF_000163935.1',1676,201,
Negative,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,periodonticum,Fusobacterium periodonticum,ATCC 33693,Fusobacterium_periodonticum_ATCC_33693.mat               ,SEQF1160,546275,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/475/GCF_000160475.1_ASM16047v1,'GCF_000160475.1',2195,201,
Negative,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,gonidiaformans,Fusobacterium gonidiaformans,3-1-5R,Fusobacterium_gonidiaformans_3-1-5R.mat                  ,SEQF2550,469605,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/158/235/GCF_000158235.1_ASM15823v1,'GCF_000158235.1',1666,860,
Negative,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,gonidiaformans,Fusobacterium gonidiaformans,ATCC 25563,Fusobacterium_gonidiaformans_ATCC_25563.mat              ,SEQF1983,469615,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/158/835/GCF_000158835.2_Fuso_gon_ATCC25563_V2,'GCF_000158835.2',1672,860,
Negative,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,necrophorum,Fusobacterium necrophorum,subsp. funduliforme 1_1_36S,Fusobacterium_necrophorum_funduliforme_1_1_36S.mat       ,SEQF2064,742814,ftp://ftp.ncbi.nlm.nih.gov/genomes/refseq/bacteria/Fusobacterium_necrophorum/all_assembly_versions/suppressed/GCF_000242215.1_Fuso_necr_1_1_36S_V1,'GCF_000242215.1',27485,690,
Negative,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,shahii,Leptotrichia shahii,DSM 19757,Leptotrichia_shahii_DSM_19757.mat                        ,SEQF2501,1122172,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/373/045/GCF_000373045.1_ASM37304v1,'GCF_000373045.1',29627,214,
Negative,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,hofstadii,Leptotrichia hofstadii,DSM 21651,Leptotrichia_hofstadii_DSM_21651.mat                     ,SEQF2581,1122171,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/428/965/GCF_000428965.1_ASM42896v1,'GCF_000428965.1',207180,224,
Negative,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,hofstadii,Leptotrichia hofstadii,F0254,Leptotrichia_hofstadii_F0254.mat                         ,SEQF1601,634994,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/955/GCF_000162955.1_ASM16295v1,'GCF_000162955.1',2691,224,
Negative,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,sp. oral taxon 225,Leptotrichia sp. oral taxon 225,F0581,Leptotrichia_oral_taxon_225_F0581.mat                    ,SEQF2452,1321774,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/469/525/GCF_000469525.1_ASM46952v1,'GCF_000469525.1',209872,225,
Negative,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,buccalis,Leptotrichia buccalis,"C-1013-b, DSM 1135, ATCC 14201, JCM 1296",Leptotrichia_buccalis_C-1013-b.mat                       ,SEQF1287,523794,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/905/GCF_000023905.1_ASM2390v1,'GCF_000023905.1',1972,563,
Negative,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,wadei,Leptotrichia wadei,DSM 19758,Leptotrichia_wadei_DSM_19758.mat                         ,SEQF2502,1122174,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/373/345/GCF_000373345.1_ASM37334v1,'GCF_000373345.1',29628,222,
Negative,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,sp. oral taxon 879,Leptotrichia sp. oral taxon 879,F0557,Leptotrichia_oral_taxon_879_F0557.mat                    ,SEQF2353,1227268,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/469/385/GCF_000469385.1_ASM46938v1,'GCF_000469385.1',208203,879,
Negative,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,sp. oral taxon 215,Leptotrichia sp. oral taxon 215,W9775,Leptotrichia_oral_taxon_215_W9775.mat                    ,SEQF2444,1321779,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/469/505/GCF_000469505.1_ASM46950v1,'GCF_000469505.1',209875,215,
Negative,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,sp. oral taxon 212,Leptotrichia sp. oral taxon 212,W10393,Leptotrichia_oral_taxon_212_W10393.mat                   ,SEQF2748,712357,ftp://ftp.ncbi.nlm.nih.gov/genomes/refseq/bacteria/Leptotrichia_sp._oral_taxon_212/all_assembly_versions/GCF_001274535.1_ASM127453v1,'GCF_001274535.1',external,212,"manually uploaded genome, annotated with RAST"
Negative,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,goodfellowii,Leptotrichia goodfellowii,DSM 19756,Leptotrichia_goodfellowii_DSM_19756.mat                  ,SEQF2629,714315,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/516/535/GCF_000516535.1_ASM51653v1,'GCF_000516535.1',216239,845,
Negative,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,goodfellowii,Leptotrichia goodfellowii,F0264,Leptotrichia_goodfellowii_F0264.mat                      ,SEQF1600,596323,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/176/335/GCF_000176335.1_ASM17633v1,'GCF_000176335.1',27018,845,
Positive,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Lachnoanaerobaculum,orale,Lachnospiraceae bacterium sp. oral taxon 082,F0431,Lachnospiraceae_bacterium_oral_taxon_082_F0431.mat       ,SEQF1881,861454,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/242/315/GCF_000242315.1_ASM24231v1,'GCF_000242315.1',27835,82,
Positive,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Lachnoanaerobaculum,saburreum,Lachnoanaerobaculum saburreum,F0468,Lachnoanaerobaculum_saburreum_F0468.mat                  ,SEQF2761,1095750,ftp://ftp.ncbi.nlm.nih.gov/genomes/refseq/bacteria/Lachnoanaerobaculum_saburreum/all_assembly_versions/GCF_000257705.1_EsaburreumF0468v1.0,'GCF_000257705.1',24177,494,"Name changed, Genus: ""Eubacterium"""
Positive,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Lachnoanaerobaculum,umeaense,Lachnospiraceae bacterium Oral taxon 107,F0167,Lachnospiraceae_bacterium_Oral_taxon_107_F0167.mat       ,SEQF1478,575593,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/465/GCF_000209465.1_Lach_bact_F0167_V1,'GCF_000209465.1',2454,107,
Positive,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Johnsonella,ignava,Johnsonella ignava,ATCC 51276,Johnsonella_ignava_ATCC_51276.mat                        ,SEQF1672,679200,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/235/445/GCF_000235445.1_John_igna_ATCC_51276_V1,'GCF_000235445.1',27341,635,
Positive,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Oribacterium,asaccharolyticum,Oribacterium sp. oral taxon 108,F0425,Oribacterium_oral_taxon_108_F0425.mat                    ,SEQF1854,904296,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/455/GCF_000214455.1_ASM21445v1,'GCF_000214455.1',3654,108,
Positive,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Oribacterium,sinus,Oribacterium sinus,F0268,Oribacterium_sinus_F0268.mat                             ,SEQF1607,585501,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/635/GCF_000160635.1_ASM16063v1,'GCF_000160635.1',2530,457,
Positive,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Oribacterium,sp. oral taxon 078,Oribacterium sp. oral taxon 078,F0262,Oribacterium_oral_taxon_078_F0262.mat                    ,SEQF1603,608534,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/135/GCF_000160135.1_ASM16013v1,'GCF_000160135.1',2629,78,
Positive,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Stomatobaculum,longum,Stomatobaculum, longum,Lachnospiraceae_bacterium_ACC2.mat                       ,SEQF2481,49875,Not Found,[],27788,419,
Positive,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Catonella,morbi,Catonella morbi,ATCC 51271,Catonella_morbi_ATCC_51271.mat                           ,SEQF1596,592026,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/035/GCF_000160035.2_ASM16003v2,'GCF_000160035.2',2569,165,
Positive,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Shuttleworthia,satelles,Shuttleworthia satelles,"DSM 14600, BAA-774, CCUG 45864",Shuttleworthia_satelles_DSM_14600.mat                    ,SEQF1045,626523,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/115/GCF_000160115.1_ASM16011v1,'GCF_000160115.1',2652,95,
Positive,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae [XI],Mogibacterium,timidum,Mogibacterium timidum,ATCC 33093,Mogibacterium_timidum_ATCC_33093.mat                     ,SEQF2630,1401079,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/525/775/GCF_000525775.1_MtimATCC33093v1.0,'GCF_000525775.1',212219,42,
Positive,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae [XI],Peptostreptococcaceae [XI][G-1],[Eubacterium] infirmum,Eubacterium infirmum,F0142,Eubacterium_infirmum_F0142.mat                           ,SEQF1695,883109,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/242/675/GCF_000242675.1_Euba_infi_F0142_V1,'GCF_000242675.1',28027,105,
Positive,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae [XI],Peptostreptococcaceae [XI][G-5],[Eubacterium] saphenum,Eubacterium saphenum,ATCC 49989,Eubacterium_saphenum_ATCC_49989.mat                      ,SEQF1017,592031,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/161/975/GCF_000161975.1_ASM16197v1,'GCF_000161975.1',2572,759,
